Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
SANTA FE,San Jerónimo,López (Est. San Martín de Tours),82105180,21,332,0,0,0,0,0,0,353,-61.2799295377437,-31.9069668930749
SANTA FE,San Jerónimo,Maciel,82105190,430,782,0,0,136,0,0,1,1349,-60.8931126475643,-32.4587652553057
SANTA FE,San Jerónimo,Monje,82105200,0,0,0,791,0,0,0,0,791,-60.9429043010117,-32.358735658961
SANTA FE,San Jerónimo,San Fabián,82105230,59,115,0,0,0,0,0,67,241,-60.9832660246346,-32.1383718722873
SANTA FE,San Jerónimo,San Genaro,82105240,278,0,0,1124,0,0,0,57,1459,-61.3606569211003,-32.3735383941398
SANTA FE,San Jerónimo,San Genaro Norte,82105250,614,0,0,805,0,0,0,46,1465,-61.3401798286706,-32.3658073636946
SANTA FE,San Jerónimo,San Eugenio,82105220,0,23,0,0,0,0,0,0,23,-61.1174234926527,-32.0768953861827
SANTA FE,San Justo,Angeloni,82112010,0,0,0,0,0,0,0,24,24,-60.6486098681792,-30.8575177090903
SANTA FE,San Justo,Cayastacito,82112020,0,0,0,0,0,0,0,71,71,-60.5814003944463,-31.1150071573313
SANTA FE,San Justo,Esther,82112040,0,0,0,0,0,0,0,11,11,-60.6448661369776,-31.0434861128335
SANTA FE,San Justo,Gobernador Crespo,82112050,140,1080,0,0,0,0,0,257,1477,-60.4011684048308,-30.3648346894928
SANTA FE,San Justo,La Criolla (Est. Cañadita),82112060,246,327,0,0,0,0,0,31,604,-60.3664968225823,-30.2261579523496
SANTA FE,San Justo,Marcelino Escalada,82112080,95,90,0,0,0,0,0,130,315,-60.4693860436357,-30.5819493055119
SANTA FE,San Justo,Naré,82112090,0,0,0,0,0,0,0,13,13,-60.4682102211441,-30.951076187335
SANTA FE,San Justo,Pedro Gómez Cello,82112100,0,0,0,0,0,0,0,92,92,-60.3152431288441,-30.0384743425904
SANTA FE,San Justo,Ramayón,82112110,0,0,0,0,0,0,0,162,162,-60.4995553794067,-30.6758153384973
SANTA FE,San Justo,San Bernardo,82112120,0,0,0,0,0,0,0,7,7,-60.5751464890853,-30.8905395009228
SANTA FE,San Justo,San Justo,82112130,268,2,0,8004,550,0,0,52,8876,-60.5940368250334,-30.7908665162845
SANTA FE,San Justo,Vera y Pintado (Est. Guaraníes),82112160,12,0,0,190,67,0,0,140,409,-60.3373530550458,-30.1436425790617
SANTA FE,San Justo,Videla,82112170,112,0,0,312,0,0,0,33,457,-60.6564412400796,-30.9465032627862
SANTA FE,San Justo,Colonia Dolores,82112030,0,0,0,0,0,0,0,22,22,-60.3307254883154,-30.3836825866932
SANTA FE,San Justo,La Penca y Caraguatá,82112070,0,0,0,0,0,0,0,26,26,-60.5217853393141,-30.3484964424709
SANTA FE,San Justo,San Martín Norte,82112140,0,0,0,0,0,0,0,35,35,-60.3040548934806,-30.3493004076432
SANTA FE,San Justo,Silva (Est. Abipones),82112150,0,0,0,0,0,0,0,25,25,-60.430070013139,-30.4486399849806
SANTA FE,San Lorenzo,Aldao,82119010,0,460,0,0,0,0,0,0,460,-60.8179518202362,-32.7069853236032
SANTA FE,San Lorenzo,Capitán Bermúdez,82119020,2997,1234,1,2899,0,0,0,0,7131,-60.7168207550494,-32.8282349449349
SANTA FE,San Lorenzo,Carcarañá,82119030,676,1,0,0,0,0,0,23,700,-61.1523502197425,-32.8588281760163
SANTA FE,San Lorenzo,Coronel Arnold,82119040,0,0,0,245,0,0,0,0,245,-60.9665015588484,-33.1066175391399
SANTA FE,San Lorenzo,Fray Luis Beltrán,82119050,1828,24,0,871,0,0,0,0,2723,-60.7291236444004,-32.7855581880336
